"Loja";"Data";"Hora";"PDV";"NSU Tef";"NSU Host";"Transa��o";"Estado";"Cod. Resp.";"Autorizadora";"Concession�ria/Integrador";"Telefone";"Valor";"NSU Sitef Pagto.";"Loja Conc.";"Operador";"Usu�rio Pend.";"Data Pend.";"Hora Pend.";"Cupom fiscal";"Hora fiscal"
"001";"01/01/2023";"07:23:37";"UN000002";"010001";"000080017";"Recarga Celular";"Efetuada PDV ";"";"GWCel";"TIM PB";"(83) 999999990";"12,00";"";"";"8369";"";"01/01/2023";"07:23:48";"00089068";"07:23:07"
"001";"01/01/2023";"08:00:39";"UN000002";"010002";"000064860";"Recarga Celular";"Efetuada PDV ";"";"GWCel";"Claro NE";"(83) 999999991";"15,00";"";"";"8369";"";"01/01/2023";"08:00:50";"00089107";"08:00:02"
"001";"01/01/2023";"08:25:57";"UN000015";"010003";"000143633";"Recarga Celular";"Efetuada PDV ";"";"GWCel";"TIM PB";"(83) 999999992";"12,00";"";"";"8433";"";"01/01/2023";"08:26:06";"00064560";"08:25:23"
"001";"01/01/2023";"08:26:47";"UN000015";"010004";"000115189";"Recarga Celular";"Efetuada PDV ";"";"GWCel";"Vivo PB";"(83) 999999993";"12,00";"";"";"8433";"";"01/01/2023";"08:27:02";"00064562";"08:26:11"
"001";"01/01/2023";"08:33:42";"UN000002";"010005";"000153112";"Recarga Celular";"Efetuada PDV ";"";"GWCel";"TIM PB";"(83) 999999994";"12,00";"";"";"8369";"";"01/01/2023";"08:34:11";"00089125";"08:33:11"
"001";"01/01/2023";"08:43:27";"UN000002";"010006";"000131959";"Recarga Celular";"Efetuada PDV ";"";"GWCel";"Vivo PB";"(83) 999999995";"12,00";"";"";"8369";"";"01/01/2023";"08:43:38";"00089129";"08:42:44"
"001";"01/01/2023";"08:47:56";"UN000009";"010007";"000136508";"Recarga Celular";"Efetuada PDV ";"";"GWCel";"Vivo PB";"(83) 999999996";"10,00";"";"";"5266";"";"01/01/2023";"08:48:04";"00006069";"08:47:03"
"001";"01/01/2023";"08:48:57";"UN000009";"010008";"000137562";"Recarga Celular";"Efetuada PDV ";"";"GWCel";"Vivo PB";"(83) 999999997";"10,00";"";"";"5266";"";"01/01/2023";"08:49:05";"00006071";"08:48:12"
"001";"01/01/2023";"09:22:27";"UN000025";"010009";"100124862";"Recarga Celular";"Efetuada PDV ";"";"GWCel";"Claro NE";"(83) 999999998";"25,00";"";"";"8432";"";"01/01/2023";"09:23:09";"00019969";"09:21:39"
"001";"01/01/2023";"09:24:05";"UN000025";"010010";"000175702";"Recarga Celular";"Efetuada PDV ";"";"GWCel";"Vivo PB";"(83) 999999999";"20,00";"";"";"8432";"";"01/01/2023";"09:24:42";"00019971";"09:23:21"
"001";"01/01/2023";"09:39:29";"UN000003";"010011";"000238726";"Recarga Celular";"Efetuada PDV ";"";"GWCel";"TIM PB";"(83) 999999910";"12,00";"";"";"4901";"";"01/01/2023";"09:40:08";"00089823";"09:38:43"
"001";"01/01/2023";"09:55:40";"UN000019";"010012";"000211049";"Recarga Celular";"Efetuada PDV ";"";"GWCel";"Vivo PB";"(83) 999999911";"15,00";"";"";"8484";"";"01/01/2023";"09:56:20";"00055199";"09:54:57"
"001";"01/01/2023";"10:06:53";"UN000025";"010013";"000223444";"Recarga Celular";"Efetuada PDV ";"";"GWCel";"Vivo PB";"(83) 999999912";"12,00";"";"";"8432";"";"01/01/2023";"10:07:05";"00019994";"10:06:21"
"001";"01/01/2023";"10:09:08";"UN000025";"010014";"000225952";"Recarga Celular";"Efetuada PDV ";"";"GWCel";"Vivo PB";"(83) 999999913";"20,00";"";"";"8432";"";"01/01/2023";"10:09:47";"00019997";"10:08:16"
"001";"01/01/2023";"10:15:26";"UN000025";"010015";"000232804";"Recarga Celular";"Efetuada PDV ";"";"GWCel";"Vivo PB";"(83) 999999914";"15,00";"";"";"8432";"";"01/01/2023";"10:15:40";"00019999";"10:14:48"
"001";"01/01/2023";"10:27:59";"UN000015";"010016";"000246500";"Recarga Celular";"Efetuada PDV ";"";"GWCel";"Vivo PB";"(83) 999999915";"20,00";"";"";"8433";"";"01/01/2023";"10:28:11";"00064582";"10:27:21"
"001";"01/01/2023";"10:38:59";"UN000019";"010017";"000314918";"Recarga Celular";"Efetuada PDV ";"";"GWCel";"TIM PB";"(83) 999999916";"40,00";"";"";"8484";"";"01/01/2023";"10:39:26";"00055213";"10:38:10"
"001";"01/01/2023";"10:42:38";"UN000017";"010018";"000261805";"Recarga Celular";"Efetuada PDV ";"";"GWCel";"Vivo PB";"(83) 999999917";"15,00";"";"";"6046";"";"01/01/2023";"10:43:12";"00050557";"10:42:13"
"001";"01/01/2023";"10:46:54";"UN000009";"010019";"000266310";"Recarga Celular";"Efetuada PDV ";"";"GWCel";"Vivo PB";"(83) 999999918";"15,00";"";"";"5266";"";"01/01/2023";"10:47:31";"00006095";"10:46:22"
"001";"01/01/2023";"10:56:02";"UN000025";"010020";"000335307";"Recarga Celular";"Efetuada PDV ";"";"GWCel";"TIM PB";"(83) 999999919";"12,00";"";"";"8432";"";"01/01/2023";"10:56:15";"00020013";"10:55:18"
